epoch,accuracy,loss,val_accuracy,val_loss
0,0.41830000281333923,1.5667734146118164,0.13490000367164612,4.854596138000488
1,0.5753800272941589,1.1755585670471191,0.24210000038146973,2.796701669692993
2,0.634119987487793,1.0212295055389404,0.517799973487854,1.44291353225708
3,0.6662799715995789,0.9363466501235962,0.6557000279426575,1.0004607439041138
4,0.688260018825531,0.8756356835365295,0.6930999755859375,0.8742064237594604
5,0.7070000171661377,0.8210442066192627,0.698199987411499,0.8450522422790527
6,0.720579981803894,0.7875227928161621,0.729200005531311,0.7664101123809814
7,0.733519971370697,0.7462196350097656,0.7494999766349792,0.7089031934738159
8,0.7441400289535522,0.7192000150680542,0.704800009727478,0.8675630688667297
9,0.7558000087738037,0.6899690628051758,0.7576000094413757,0.6968404650688171
10,0.7686600089073181,0.6570870280265808,0.7666000127792358,0.6677948236465454
11,0.7778000235557556,0.6327258348464966,0.7717000246047974,0.65403813123703
12,0.7853800058364868,0.6106314659118652,0.777400016784668,0.6559205651283264
13,0.7889999747276306,0.5988025069236755,0.8072999715805054,0.5619425773620605
14,0.799019992351532,0.5760820508003235,0.8144000172615051,0.542454183101654
15,0.8033000230789185,0.5624052882194519,0.7961000204086304,0.593513548374176
16,0.8083999752998352,0.5458781123161316,0.798799991607666,0.5984771251678467
17,0.8116000294685364,0.5364612340927124,0.8295000195503235,0.5081689953804016
18,0.8136600255966187,0.5297366380691528,0.8309000134468079,0.49730896949768066
19,0.8195000290870667,0.5147742033004761,0.8226000070571899,0.523926854133606
20,0.8254799842834473,0.5008427500724792,0.817799985408783,0.5402851104736328
21,0.8263199925422668,0.49735909700393677,0.8288000226020813,0.5063256025314331
22,0.8320800065994263,0.48414692282676697,0.82669997215271,0.5117678642272949
23,0.8343799710273743,0.4777478873729706,0.8011999726295471,0.5904731154441833
24,0.8351799845695496,0.4755932688713074,0.8330000042915344,0.48870667815208435
25,0.8401200175285339,0.46224749088287354,0.847599983215332,0.45963355898857117
26,0.8398799896240234,0.45946308970451355,0.8202999830245972,0.5345337390899658
27,0.8420400023460388,0.453031450510025,0.8238999843597412,0.5169133543968201
28,0.8422399759292603,0.45029282569885254,0.8402000069618225,0.47752898931503296
29,0.845579981803894,0.4401068091392517,0.8323000073432922,0.4886036515235901
